date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-08-30 00:00:00,2014,3,8,August,35,30,Saturday,2014-Q3,2014-08
2014-08-31 00:00:00,2014,3,8,August,35,31,Sunday,2014-Q3,2014-08
2014-09-01 00:00:00,2014,3,9,September,36,1,Monday,2014-Q3,2014-09
2014-09-02 00:00:00,2014,3,9,September,36,2,Tuesday,2014-Q3,2014-09
2014-09-03 00:00:00,2014,3,9,September,36,3,Wednesday,2014-Q3,2014-09
2014-09-05 00:00:00,2014,3,9,September,36,5,Friday,2014-Q3,2014-09
2014-09-06 00:00:00,2014,3,9,September,36,6,Saturday,2014-Q3,2014-09
2014-09-07 00:00:00,2014,3,9,September,36,7,Sunday,2014-Q3,2014-09
2014-09-08 00:00:00,2014,3,9,September,37,8,Monday,2014-Q3,2014-09
2014-09-09 00:00:00,2014,3,9,September,37,9,Tuesday,2014-Q3,2014-09
2014-09-10 00:00:00,2014,3,9,September,37,10,Wednesday,2014-Q3,2014-09
2014-09-11 00:00:00,2014,3,9,September,37,11,Thursday,2014-Q3,2014-09
2014-09-12 00:00:00,2014,3,9,September,37,12,Friday,2014-Q3,2014-09
2014-09-13 00:00:00,2014,3,9,September,37,13,Saturday,2014-Q3,2014-09
2014-09-14 00:00:00,2014,3,9,September,37,14,Sunday,2014-Q3,2014-09
2014-09-15 00:00:00,2014,3,9,September,38,15,Monday,2014-Q3,2014-09
2014-09-16 00:00:00,2014,3,9,September,38,16,Tuesday,2014-Q3,2014-09
2014-09-17 00:00:00,2014,3,9,September,38,17,Wednesday,2014-Q3,2014-09
2014-09-19 00:00:00,2014,3,9,September,38,19,Friday,2014-Q3,2014-09
2014-09-20 00:00:00,2014,3,9,September,38,20,Saturday,2014-Q3,2014-09
2014-09-21 00:00:00,2014,3,9,September,38,21,Sunday,2014-Q3,2014-09
2014-09-22 00:00:00,2014,3,9,September,39,22,Monday,2014-Q3,2014-09
2014-09-23 00:00:00,2014,3,9,September,39,23,Tuesday,2014-Q3,2014-09
2014-09-24 00:00:00,2014,3,9,September,39,24,Wednesday,2014-Q3,2014-09
2014-09-25 00:00:00,2014,3,9,September,39,25,Thursday,2014-Q3,2014-09
2014-09-26 00:00:00,2014,3,9,September,39,26,Friday,2014-Q3,2014-09
2014-09-27 00:00:00,2014,3,9,September,39,27,Saturday,2014-Q3,2014-09
2014-09-28 00:00:00,2014,3,9,September,39,28,Sunday,2014-Q3,2014-09
2014-09-29 00:00:00,2014,3,9,September,40,29,Monday,2014-Q3,2014-09
2014-09-30 00:00:00,2014,3,9,September,40,30,Tuesday,2014-Q3,2014-09
2014-10-01 00:00:00,2014,4,10,October,40,1,Wednesday,2014-Q4,2014-10
2014-10-02 00:00:00,2014,4,10,October,40,2,Thursday,2014-Q4,2014-10
2014-10-03 00:00:00,2014,4,10,October,40,3,Friday,2014-Q4,2014-10
2014-10-04 00:00:00,2014,4,10,October,40,4,Saturday,2014-Q4,2014-10
2014-10-05 00:00:00,2014,4,10,October,40,5,Sunday,2014-Q4,2014-10
